response_id,evaluator_id,correctness,depth,clarity,practicality,tradeoffs,overall_score
1304,1,0.68,0.56,0.61,0.62,0.64,0.5918
1304,2,0.57,0.62,0.61,0.64,0.44,0.623
368,1,0.33,0.34,0.34,0.51,0.43,0.4134
368,2,0.39,0.35,0.46,0.42,0.44,0.3686
1356,1,0.55,0.54,0.48,0.55,0.59,0.4588
1356,2,0.6,0.66,0.3,0.56,0.64,0.5626
184,1,0.58,0.65,0.73,0.66,0.61,0.726
184,2,0.61,0.65,0.77,0.77,0.66,0.7113
827,1,0.34,0.5,0.58,0.47,0.51,0.4773
827,2,0.34,0.48,0.58,0.33,0.51,0.4653
287,1,0.84,0.81,0.87,0.8,0.79,0.8517
287,2,0.87,0.77,0.73,0.67,0.67,0.7682
843,1,0.57,0.77,0.77,0.64,0.63,0.6607
843,2,0.7,0.77,0.75,0.61,0.68,0.7595
1696,1,0.65,0.47,0.61,0.62,0.58,0.5589
1696,2,0.58,0.48,0.72,0.59,0.56,0.5158
541,1,0.45,0.39,0.42,0.46,0.61,0.4184
541,2,0.5,0.48,0.58,0.44,0.51,0.4697
397,1,0.54,0.33,0.44,0.55,0.55,0.4357
397,2,0.45,0.48,0.42,0.54,0.58,0.5563
1386,1,0.86,0.76,0.85,0.85,0.79,0.8612
1386,2,0.87,0.64,0.84,0.72,0.76,0.8673
816,1,0.69,0.84,0.94,0.73,0.9,0.8787
816,2,0.68,0.8,0.78,0.69,0.72,0.8233
381,1,0.74,0.83,0.61,0.59,0.52,0.6262
381,2,0.78,0.73,0.67,0.63,0.68,0.5674
1218,1,0.59,0.88,0.53,0.59,0.58,0.6498
1218,2,0.66,0.74,0.7,0.71,0.71,0.5866
1739,1,0.63,0.52,0.6,0.6,0.64,0.6069
1739,2,0.69,0.47,0.68,0.44,0.54,0.597
1198,1,0.46,0.53,0.42,0.47,0.34,0.4353
1198,2,0.4,0.33,0.4,0.39,0.28,0.4221
1399,1,0.86,0.76,0.92,0.66,0.84,0.7179
1399,2,0.96,0.79,0.79,0.67,0.74,0.8586
578,1,0.81,0.61,0.75,0.76,0.71,0.8005
578,2,0.81,0.64,0.92,0.72,0.76,0.7602
1651,1,0.95,0.97,0.9,0.94,0.87,0.8306
1651,2,0.96,0.92,1,0.89,0.91,0.9939
828,1,0.93,0.76,0.77,0.74,0.83,0.8732
828,2,0.85,0.67,0.69,0.78,0.93,0.8482
304,1,0.73,0.67,0.85,0.57,0.64,0.7059
304,2,0.8,0.57,0.72,0.6,0.67,0.7182
1002,1,0.65,0.62,0.8,0.62,0.45,0.6581
1002,2,0.69,0.58,0.82,0.52,0.61,0.606
236,1,0.66,0.66,0.67,0.64,0.62,0.592
236,2,0.7,0.54,0.68,0.55,0.64,0.6721
167,1,0.65,0.62,0.77,0.83,0.61,0.5302
167,2,0.65,0.66,0.76,0.62,0.74,0.689
137,1,0.73,0.62,0.77,0.65,0.64,0.7161
137,2,0.77,0.6,0.7,0.76,0.78,0.7094
560,1,0.31,0.64,0.48,0.47,0.67,0.6214
560,2,0.56,0.5,0.41,0.56,0.65,0.526
614,1,0.76,0.96,0.84,0.98,0.83,0.8342
614,2,0.91,0.93,0.92,0.91,0.84,0.8748
416,1,0.58,0.7,0.75,0.65,0.76,0.7394
416,2,0.59,0.64,0.64,0.66,0.81,0.6131
191,1,0.49,0.63,0.53,0.53,0.73,0.6596
191,2,0.53,0.72,0.6,0.65,0.56,0.5662
1201,1,0.41,0.34,0.43,0.58,0.58,0.4979
1201,2,0.49,0.43,0.32,0.53,0.69,0.4504
1191,1,0.46,0.43,0.5,0.51,0.48,0.4697
1191,2,0.66,0.3,0.49,0.52,0.47,0.5687
1732,1,0.47,0.56,0.48,0.55,0.59,0.5891
1732,2,0.52,0.55,0.46,0.46,0.67,0.6113
3,1,0.68,0.79,0.81,0.7,0.67,0.7177
3,2,0.72,0.76,0.82,0.69,0.8,0.6972
1827,1,0.48,0.44,0.47,0.52,0.45,0.454
1827,2,0.53,0.33,0.51,0.53,0.48,0.504
1898,1,0.83,0.6,0.72,0.86,0.73,0.8515
1898,2,0.87,0.61,0.85,0.87,0.71,0.8086
1506,1,0.55,0.44,0.7,0.48,0.43,0.5579
1506,2,0.56,0.49,0.64,0.49,0.6,0.4803
22,1,0.78,0.64,0.59,0.82,0.84,0.7181
22,2,0.75,0.68,0.71,0.78,0.74,0.8074
1782,1,0.61,0.49,0.62,0.6,0.55,0.573
1782,2,0.59,0.62,0.64,0.55,0.5,0.637
1115,1,0.69,0.74,0.77,0.73,0.66,0.7269
1115,2,0.73,0.74,0.69,0.71,0.66,0.7852
1801,1,0.54,0.33,0.54,0.31,0.4,0.3973
1801,2,0.34,0.18,0.36,0.5,0.32,0.4264
76,1,0.82,0.8,0.7,0.73,0.76,0.8399
76,2,0.82,0.85,0.83,0.72,0.92,0.7982
14,1,0.83,0.88,0.82,0.68,0.92,0.7787
14,2,0.85,0.81,0.69,0.74,0.92,0.8454
109,1,0.46,0.52,0.66,0.32,0.39,0.3548
109,2,0.4,0.44,0.35,0.44,0.43,0.4868
1148,1,0.67,0.68,0.64,0.55,0.76,0.4241
1148,2,0.73,0.65,0.57,0.62,0.48,0.6185
1445,1,0.9,0.95,0.92,0.95,0.93,0.9528
1445,2,0.83,1,0.79,0.88,0.89,0.8969
770,1,0.54,0.51,0.52,0.56,0.5,0.4756
770,2,0.43,0.35,0.44,0.52,0.5,0.4951
1286,1,0.57,0.66,0.79,0.86,0.81,0.73
1286,2,0.69,0.78,0.73,0.88,0.72,0.7371
1391,1,0.71,0.7,0.84,0.9,0.79,0.8539
1391,2,0.72,0.7,0.73,0.89,0.83,0.6971
49,1,0.39,0.48,0.41,0.62,0.45,0.5667
49,2,0.56,0.48,0.48,0.58,0.54,0.4958
1493,1,0.8,0.84,0.83,0.82,0.73,0.7625
1493,2,0.9,0.8,0.69,0.8,0.77,0.8553
1462,1,0.7,0.8,0.75,0.65,0.67,0.6594
1462,2,0.68,0.73,0.68,0.74,0.72,0.7653
713,1,0.65,0.56,0.53,0.52,0.44,0.4628
713,2,0.51,0.58,0.47,0.47,0.33,0.5626
350,1,0.73,0.49,0.64,0.58,0.57,0.5871
350,2,0.69,0.57,0.71,0.48,0.42,0.5405
208,1,0.33,0.38,0.29,0.38,0.39,0.3616
208,2,0.39,0.43,0.44,0.42,0.47,0.4838
758,1,0.59,0.71,0.64,0.84,0.68,0.7246
758,2,0.64,0.63,0.67,0.74,0.7,0.7078
342,1,0.53,0.6,0.54,0.43,0.63,0.5942
342,2,0.48,0.68,0.55,0.69,0.62,0.6002
404,1,0.56,0.42,0.4,0.4,0.47,0.5225
404,2,0.56,0.48,0.35,0.47,0.52,0.3882
212,1,0.61,0.59,0.82,0.78,0.58,0.7891
212,2,0.68,0.66,0.87,0.66,0.66,0.7298
870,1,0.75,0.64,0.49,0.61,0.61,0.6833
870,2,0.62,0.59,0.58,0.52,0.61,0.5861
1266,1,0.63,0.77,0.79,0.73,0.61,0.7325
1266,2,0.64,0.68,0.78,0.77,0.72,0.692
1517,1,0.54,0.38,0.6,0.51,0.49,0.4913
1517,2,0.52,0.31,0.42,0.66,0.5,0.4729
1456,1,0.64,0.53,0.81,0.68,0.78,0.6405
1456,2,0.79,0.69,0.71,0.63,0.82,0.7219
1560,1,0.55,0.5,0.56,0.48,0.49,0.6004
1560,2,0.63,0.55,0.69,0.51,0.64,0.5446
1044,1,0.67,0.41,0.66,0.81,0.72,0.5715
1044,2,0.69,0.5,0.6,0.7,0.74,0.6653
247,1,0.6,0.52,0.62,0.54,0.53,0.6183
247,2,0.67,0.63,0.61,0.66,0.59,0.6894
1443,1,1,0.97,0.92,0.89,0.88,0.9455
1443,2,0.99,0.97,1,0.81,0.79,0.9418
736,1,0.57,0.42,0.41,0.34,0.42,0.3651
736,2,0.58,0.45,0.38,0.35,0.33,0.3532
281,1,1,0.8,0.88,0.89,0.95,0.8324
281,2,0.95,0.86,0.98,0.98,0.85,0.8763
1418,1,0.46,0.57,0.51,0.56,0.51,0.49
1418,2,0.45,0.55,0.45,0.57,0.4,0.4867
218,1,0.63,0.61,0.73,0.72,0.58,0.798
218,2,0.65,0.48,0.77,0.67,0.52,0.6133
1152,1,0.59,0.3,0.33,0.5,0.31,0.4241
1152,2,0.55,0.37,0.46,0.35,0.41,0.3381
392,1,0.51,0.65,0.48,0.55,0.51,0.5775
392,2,0.46,0.71,0.47,0.57,0.45,0.5179
107,1,0.44,0.48,0.51,0.33,0.33,0.3882
107,2,0.33,0.45,0.44,0.53,0.43,0.5025
1380,1,0.77,0.73,0.68,0.66,0.7,0.7963
1380,2,0.79,0.62,0.67,0.57,0.7,0.6374
418,1,0.46,0.52,0.63,0.52,0.45,0.4733
418,2,0.63,0.54,0.75,0.52,0.49,0.5475
627,1,0.49,0.61,0.68,0.71,0.6,0.6607
627,2,0.67,0.56,0.61,0.84,0.54,0.6121
1328,1,0.36,0.58,0.29,0.45,0.3,0.4531
1328,2,0.36,0.45,0.31,0.33,0.34,0.2827
569,1,0.94,0.85,0.73,0.82,0.74,0.6751
569,2,0.88,0.77,0.7,0.7,0.73,0.6856
1151,1,0.35,0.15,0.31,0.35,0.17,0.2552
1151,2,0.4,0.33,0.37,0.22,0.4,0.3704
698,1,0.35,0.38,0.42,0.48,0.42,0.3067
698,2,0.42,0.41,0.32,0.41,0.51,0.4426
183,1,0.71,0.66,0.8,0.7,0.8,0.6617
183,2,0.71,0.66,0.8,0.54,0.62,0.7469
1179,1,0.73,0.66,0.62,0.72,0.69,0.7683
1179,2,0.69,0.61,0.74,0.93,0.68,0.6992
353,1,0.48,0.6,0.69,0.61,0.75,0.5799
353,2,0.53,0.65,0.66,0.55,0.7,0.6545
763,1,0.65,0.6,0.58,0.63,0.76,0.6581
763,2,0.71,0.44,0.83,0.74,0.59,0.6834
954,1,0.58,0.59,0.54,0.57,0.44,0.6611
954,2,0.55,0.53,0.54,0.57,0.41,0.6079
288,1,0.76,0.93,0.94,0.95,0.85,0.9099
288,2,0.8,0.77,0.77,0.9,0.86,1
985,1,0.88,0.96,0.92,0.73,0.83,0.8197
985,2,0.9,0.79,0.86,0.8,0.91,0.82
1433,1,0.91,0.82,1,0.97,0.79,0.9377
1433,2,0.86,0.78,1,1,0.93,0.9169
1876,1,0.67,0.52,0.69,0.56,0.52,0.578
1876,2,0.6,0.48,0.77,0.56,0.61,0.4424
862,1,0.64,0.58,0.8,0.5,0.35,0.5103
862,2,0.47,0.53,0.75,0.5,0.47,0.5377
1769,1,0.74,0.68,0.68,0.57,0.65,0.676
1769,2,0.75,0.66,0.82,0.52,0.64,0.6631
605,1,0.73,0.84,0.71,0.88,0.93,0.8209
605,2,0.72,0.85,0.91,0.79,0.95,0.8681
745,1,0.15,0.32,0.32,0.3,0.28,0.3536
745,2,0.26,0.54,0.21,0.37,0.49,0.2851
388,1,0.57,0.68,0.7,0.67,0.59,0.7016
388,2,0.62,0.55,0.68,0.57,0.65,0.6225
952,1,0.56,0.57,0.65,0.56,0.6,0.6321
952,2,0.39,0.6,0.61,0.65,0.68,0.6069
1270,1,0.74,0.72,0.72,0.66,0.72,0.7849
1270,2,0.86,0.88,0.65,0.61,0.55,0.7929
535,1,0.73,0.75,0.88,0.76,0.8,0.7432
535,2,0.82,0.78,0.9,0.81,0.73,0.7206
1549,1,0.42,0.41,0.55,0.21,0.42,0.4231
1549,2,0.5,0.26,0.43,0.48,0.3,0.475
127,1,0.51,0.43,0.37,0.46,0.37,0.5235
127,2,0.55,0.53,0.41,0.54,0.34,0.4664
1034,1,0.46,0.34,0.49,0.51,0.39,0.5325
1034,2,0.61,0.34,0.53,0.54,0.38,0.4922
277,1,0.88,0.91,0.84,0.93,0.9,0.9311
277,2,0.89,1,0.87,1,0.88,1
1798,1,0.48,0.46,0.54,0.43,0.47,0.5853
1798,2,0.64,0.43,0.53,0.49,0.47,0.5611
420,1,0.68,0.67,0.73,0.69,0.5,0.6239
420,2,0.65,0.53,0.63,0.7,0.54,0.5934
224,1,0.69,0.61,0.65,0.65,0.69,0.6008
224,2,0.68,0.66,0.74,0.77,0.68,0.7175
1354,1,0.53,0.33,0.56,0.55,0.4,0.3965
1354,2,0.51,0.52,0.46,0.54,0.59,0.3778
936,1,0.35,0.32,0.41,0.3,0.41,0.4049
936,2,0.26,0.42,0.44,0.34,0.36,0.3968
1632,1,0.79,0.79,0.84,0.63,0.79,0.7582
1632,2,0.75,0.71,0.82,0.81,0.7,0.8369
1421,1,0.6,0.67,0.67,0.48,0.54,0.5759
1421,2,0.49,0.6,0.71,0.46,0.48,0.6068
1856,1,0.54,0.61,0.68,0.6,0.58,0.6158
1856,2,0.52,0.53,0.85,0.53,0.52,0.5359
518,1,0.74,0.62,0.75,0.67,0.61,0.738
518,2,0.72,0.73,0.8,0.72,0.64,0.816
818,1,0.66,0.67,0.57,0.58,0.65,0.6887
818,2,0.62,0.65,0.58,0.54,0.6,0.7627
1278,1,0.78,0.84,0.88,0.95,0.86,0.9023
1278,2,0.74,0.89,1,1,0.8,0.8163
1482,1,0.7,0.71,0.84,0.93,0.82,0.815
1482,2,0.85,0.71,0.8,0.89,0.87,0.7881
646,1,0.92,0.7,0.96,0.95,0.94,0.9605
646,2,0.89,0.71,0.86,0.91,1,0.7796
863,1,0.65,0.55,0.78,0.8,0.81,0.6795
863,2,0.6,0.78,0.73,0.8,0.74,0.7533
1401,1,0.62,0.83,0.9,0.83,0.81,0.7406
1401,2,0.84,0.71,1,0.77,0.85,0.7815
534,1,0.61,0.47,0.63,0.55,0.53,0.5318
534,2,0.52,0.46,0.69,0.55,0.51,0.5061
805,1,0.62,0.61,0.55,0.5,0.49,0.5477
805,2,0.57,0.67,0.58,0.5,0.58,0.5008
642,1,0.6,0.55,0.79,0.75,0.6,0.561
642,2,0.64,0.61,0.69,0.61,0.78,0.5961
1321,1,0.58,0.6,0.55,0.55,0.58,0.5999
1321,2,0.47,0.4,0.45,0.61,0.62,0.4349
1095,1,0.49,0.55,0.83,0.57,0.49,0.6074
1095,2,0.55,0.59,0.64,0.56,0.58,0.5673
1118,1,0.53,0.52,0.46,0.51,0.46,0.6009
1118,2,0.66,0.5,0.35,0.38,0.46,0.4718
1691,1,0.71,0.42,0.54,0.7,0.53,0.6814
1691,2,0.65,0.47,0.57,0.7,0.61,0.53
1654,1,0.79,1,0.98,1,0.86,0.9142
1654,2,0.89,0.92,1,1,0.88,0.9311
1099,1,0.64,0.76,0.64,0.73,0.65,0.7089
1099,2,0.65,0.77,0.5,0.73,0.75,0.7749
545,1,0.7,0.64,0.65,0.77,0.7,0.7611
545,2,0.79,0.58,0.61,0.52,0.73,0.6476
1612,1,0.86,0.78,0.63,0.61,0.59,0.7092
1612,2,0.79,0.76,0.61,0.59,0.68,0.7409
171,1,0.46,0.72,0.53,0.55,0.49,0.6451
171,2,0.54,0.72,0.53,0.56,0.66,0.6272
756,1,0.5,0.44,0.54,0.56,0.54,0.4407
756,2,0.47,0.45,0.52,0.33,0.51,0.4417
1712,1,0.47,0.36,0.3,0.58,0.61,0.5041
1712,2,0.57,0.42,0.39,0.5,0.45,0.4085
652,1,0.74,0.66,0.64,0.69,0.82,0.7139
652,2,0.86,0.7,0.75,0.83,0.79,0.7647
1006,1,0.61,0.52,0.64,0.48,0.65,0.5154
1006,2,0.41,0.63,0.6,0.56,0.5,0.5353
302,1,0.59,0.58,0.69,0.72,0.51,0.623
302,2,0.66,0.58,0.69,0.65,0.61,0.5464
1053,1,0.75,0.63,0.69,0.6,0.56,0.6524
1053,2,0.7,0.56,0.64,0.6,0.68,0.4972
202,1,0.67,0.63,0.68,0.71,0.39,0.6231
202,2,0.61,0.67,0.6,0.62,0.57,0.7108
750,1,0.66,0.54,0.63,0.56,0.6,0.6667
750,2,0.59,0.73,0.69,0.55,0.59,0.5504
1169,1,0.52,0.61,0.68,0.63,0.6,0.5599
1169,2,0.49,0.55,0.51,0.48,0.67,0.571
1140,1,0.58,0.6,0.52,0.47,0.45,0.4653
1140,2,0.57,0.51,0.54,0.5,0.58,0.5579
1499,1,0.69,0.53,0.53,0.41,0.44,0.5929
1499,2,0.75,0.64,0.47,0.62,0.49,0.5721
1051,1,0.49,0.47,0.64,0.71,0.66,0.5688
1051,2,0.31,0.51,0.55,0.58,0.65,0.5333
21,1,0.7,0.71,0.79,0.69,0.67,0.6571
21,2,0.7,0.63,0.8,0.62,0.68,0.7651
1082,1,0.72,0.7,0.56,0.65,0.76,0.7031
1082,2,0.59,0.76,0.43,0.63,0.76,0.7326
1460,1,0.6,0.64,0.59,0.57,0.68,0.6823
1460,2,0.66,0.54,0.79,0.56,0.59,0.6515
1842,1,0.63,0.6,0.59,0.68,0.69,0.6251
1842,2,0.67,0.68,0.56,0.59,0.64,0.5334
982,1,0.83,0.86,0.82,0.98,0.87,0.9206
982,2,1,1,0.83,0.99,1,0.9725
395,1,0.54,0.41,0.67,0.59,0.68,0.5406
395,2,0.59,0.6,0.63,0.64,0.75,0.6465
457,1,0.36,0.23,0.25,0.26,0.33,0.3221
457,2,0.41,0.18,0.33,0.32,0.32,0.337
786,1,0.55,0.35,0.54,0.46,0.5,0.4781
786,2,0.53,0.51,0.6,0.58,0.7,0.4768
1748,1,0.54,0.2,0.35,0.33,0.47,0.328
1748,2,0.53,0.38,0.46,0.34,0.42,0.4284
808,1,0.57,0.47,0.5,0.58,0.45,0.6029
808,2,0.44,0.46,0.5,0.49,0.46,0.6153
1403,1,0.91,0.96,0.69,0.85,0.87,0.7849
1403,2,0.65,0.76,0.75,0.85,0.68,0.8513
81,1,0.62,0.65,0.71,0.82,0.58,0.6501
81,2,0.65,0.62,0.69,0.73,0.69,0.6953
1670,1,0.47,0.64,0.65,0.63,0.59,0.6464
1670,2,0.64,0.63,0.57,0.52,0.66,0.473
24,1,0.73,0.56,0.76,0.75,0.64,0.7434
24,2,0.91,0.67,0.7,0.78,0.75,0.6392
1828,1,0.45,0.43,0.61,0.38,0.54,0.4417
1828,2,0.28,0.67,0.67,0.46,0.52,0.5977
659,1,0.77,0.71,0.71,0.79,0.67,0.7785
659,2,0.82,0.78,0.81,0.72,0.66,0.8102
214,1,0.73,0.49,0.63,0.55,0.56,0.648
214,2,0.57,0.65,0.67,0.53,0.63,0.641
399,1,0.61,0.82,0.7,0.66,0.78,0.679
399,2,0.59,0.72,0.74,0.64,0.76,0.6621
1734,1,0.8,0.77,0.69,0.91,0.77,0.819
1734,2,0.81,0.81,0.65,0.82,0.59,0.6873
352,1,0.61,0.78,0.79,0.63,0.68,0.8294
352,2,0.68,0.81,0.74,0.66,0.71,0.8608
333,1,0.53,0.48,0.53,0.43,0.39,0.5405
333,2,0.58,0.52,0.49,0.4,0.46,0.439
215,1,0.52,0.54,0.72,0.58,0.5,0.5725
215,2,0.66,0.52,0.55,0.53,0.55,0.6097
1789,1,0.54,0.48,0.66,0.54,0.45,0.5256
1789,2,0.66,0.63,0.61,0.6,0.55,0.5992
365,1,0.51,0.47,0.56,0.52,0.55,0.5214
365,2,0.5,0.43,0.6,0.65,0.59,0.5413
794,1,0.68,0.5,0.54,0.57,0.82,0.7439
794,2,0.73,0.74,0.52,0.6,0.62,0.6729
357,1,0.61,0.45,0.53,0.39,0.56,0.5394
357,2,0.56,0.48,0.57,0.56,0.49,0.463
489,1,0.7,0.63,0.78,0.73,0.68,0.6677
489,2,0.67,0.68,0.62,0.73,0.82,0.7705
1733,1,0.94,0.69,0.69,0.81,0.86,0.7366
1733,2,0.93,0.74,0.62,0.78,0.7,0.7582
1149,1,0.22,0.32,0.27,0.19,0.32,0.2806
1149,2,0.29,0.11,0.35,0.32,0.32,0.2628
865,1,0.68,0.69,0.66,0.55,0.74,0.6971
865,2,0.69,0.69,0.6,0.63,0.7,0.715
1707,1,0.57,0.47,0.66,0.52,0.53,0.5713
1707,2,0.65,0.55,0.7,0.55,0.58,0.5917
227,1,0.39,0.43,0.46,0.52,0.41,0.3804
227,2,0.41,0.31,0.57,0.37,0.43,0.4257
728,1,0.68,0.59,0.68,0.47,0.55,0.5632
728,2,0.71,0.62,0.71,0.46,0.64,0.6736
1334,1,0.55,0.29,0.37,0.3,0.36,0.3825
1334,2,0.53,0.2,0.34,0.43,0.47,0.4921
753,1,0.47,0.48,0.5,0.53,0.46,0.4515
753,2,0.47,0.39,0.5,0.5,0.47,0.4564
42,1,0.43,0.42,0.55,0.36,0.33,0.381
42,2,0.48,0.37,0.42,0.35,0.38,0.4188
2,1,0.79,0.51,0.68,0.67,0.8,0.7076
2,2,0.66,0.48,0.57,0.83,0.67,0.8079
766,1,0.69,0.78,0.68,0.65,0.87,0.6351
766,2,0.71,0.79,0.61,0.64,0.72,0.6723
1621,1,0.71,0.63,0.63,0.46,0.72,0.6174
1621,2,0.71,0.67,0.77,0.62,0.54,0.6488
325,1,0.36,0.47,0.43,0.39,0.38,0.3906
325,2,0.43,0.29,0.42,0.3,0.37,0.2887
1093,1,0.48,0.63,0.33,0.46,0.64,0.4894
1093,2,0.52,0.53,0.3,0.46,0.53,0.4695
1188,1,0.42,0.28,0.36,0.26,0.37,0.2879
1188,2,0.31,0.4,0.24,0.18,0.39,0.3404
198,1,0.91,0.7,0.67,0.68,0.66,0.7736
198,2,0.75,0.67,0.66,0.67,0.75,0.7349
524,1,0.9,0.72,0.73,0.74,0.8,0.9038
524,2,0.85,0.67,0.82,0.78,0.87,0.823
1320,1,0.65,0.65,0.47,0.67,0.74,0.6267
1320,2,0.71,0.62,0.55,0.61,0.57,0.6007
1634,1,0.76,0.74,0.75,0.82,0.83,0.8492
1634,2,0.72,0.79,0.65,0.78,0.86,0.7774
1879,1,0.61,0.66,0.65,0.65,0.7,0.7169
1879,2,0.78,0.47,0.69,0.71,0.59,0.6964
90,1,0.63,0.61,0.57,0.63,0.56,0.7735
90,2,0.69,0.6,0.63,0.63,0.61,0.6239
1358,1,0.46,0.58,0.36,0.45,0.56,0.5015
1358,2,0.42,0.61,0.4,0.49,0.48,0.433
414,1,0.7,0.43,0.54,0.57,0.59,0.5532
414,2,0.71,0.58,0.62,0.58,0.39,0.6059
1479,1,0.64,0.62,0.57,0.68,0.55,0.6918
1479,2,0.69,0.64,0.64,0.63,0.61,0.5736
1540,1,0.77,0.75,0.87,0.74,0.75,0.8291
1540,2,0.81,0.8,0.8,0.72,0.7,0.7949
1160,1,0.52,0.64,0.6,0.67,0.62,0.6074
1160,2,0.64,0.58,0.57,0.59,0.66,0.5811
67,1,0.63,0.67,0.59,0.84,0.61,0.7047
67,2,0.6,0.68,0.66,0.78,0.63,0.6452
900,1,0.52,0.66,0.63,0.58,0.63,0.6505
900,2,0.44,0.6,0.52,0.53,0.55,0.5732
971,1,0.79,0.82,0.78,0.89,0.8,0.7688
971,2,0.73,0.78,0.78,0.94,0.86,0.8329
346,1,0.74,0.71,0.64,0.72,0.72,0.6925
346,2,0.83,0.59,0.69,0.67,0.78,0.6075
1199,1,0.4,0.48,0.4,0.35,0.52,0.3886
1199,2,0.35,0.39,0.43,0.23,0.54,0.4012
195,1,0.78,0.79,0.75,0.64,0.68,0.8105
195,2,0.79,0.81,0.55,0.66,0.77,0.6698
1594,1,0.72,0.6,0.66,0.62,0.74,0.7234
1594,2,0.59,0.74,0.67,0.57,0.74,0.6484
948,1,0.47,0.72,0.66,0.5,0.56,0.6006
948,2,0.39,0.58,0.63,0.59,0.49,0.5212
1153,1,0.36,0.36,0.43,0.58,0.49,0.4428
1153,2,0.42,0.38,0.4,0.57,0.54,0.3
380,1,0.43,0.38,0.53,0.47,0.43,0.4447
380,2,0.62,0.26,0.55,0.44,0.46,0.4031
93,1,0.68,0.76,0.77,0.65,0.73,0.7856
93,2,0.8,0.71,0.73,0.79,0.76,0.68
1138,1,0.49,0.53,0.6,0.66,0.78,0.6251
1138,2,0.6,0.57,0.6,0.55,0.53,0.7111
752,1,0.48,0.52,0.36,0.47,0.44,0.5214
752,2,0.51,0.58,0.42,0.52,0.61,0.414
496,1,0.66,0.6,0.81,0.57,0.52,0.6831
496,2,0.7,0.68,0.85,0.59,0.55,0.674
108,1,0.67,0.64,0.76,0.63,0.56,0.5435
108,2,0.59,0.65,0.61,0.64,0.63,0.6003
1101,1,0.7,0.98,0.69,0.76,0.87,0.88
1101,2,0.81,0.84,0.79,0.79,0.9,0.6886
933,1,0.59,0.53,0.55,0.42,0.5,0.4865
933,2,0.57,0.55,0.49,0.5,0.41,0.6082
220,1,0.6,0.76,0.54,0.62,0.67,0.5725
220,2,0.5,0.55,0.6,0.7,0.77,0.4898
1282,1,0.88,0.65,0.81,0.61,0.69,0.7852
1282,2,0.72,0.72,0.79,0.77,0.6,0.6742
594,1,0.49,0.54,0.47,0.39,0.43,0.4401
594,2,0.51,0.52,0.49,0.26,0.29,0.3715
242,1,0.59,0.62,0.68,0.55,0.7,0.6235
242,2,0.68,0.62,0.81,0.73,0.68,0.7213
426,1,0.7,0.7,0.76,0.75,0.7,0.7162
426,2,0.76,0.66,0.77,0.68,0.79,0.7625
272,1,0.76,0.69,0.69,0.91,0.72,0.8394
272,2,0.82,0.64,0.82,0.8,0.66,0.7101
