id,session_id,role,content
94,10,candidate,（已提交语音回答）
95,11,interviewer,第1题（Object）：请简述相关知识点。
96,11,candidate,（已提交语音回答）
97,11,interviewer,第2题（基础概念与常识）：请简述相关知识点。
98,11,candidate,（已提交语音回答）
99,11,interviewer,第3题（集合）：请简述相关知识点。
100,11,candidate,（已提交语音回答）
101,11,interviewer,第4题（String）：请简述相关知识点。
102,11,candidate,（已提交语音回答）
103,11,interviewer,第5题（String）：请简述相关知识点。
104,11,candidate,（已提交语音回答）
105,12,interviewer,第1题（基础概念与常识）：请简述相关知识点。
106,12,candidate,（已提交语音回答）
107,12,interviewer,第2题（注解）：请简述相关知识点。
108,12,candidate,（已提交语音回答）
109,12,interviewer,第3题（并发）：请简述相关知识点。
110,12,candidate,（已提交语音回答）
111,12,interviewer,第4题（数据库）：请简述相关知识点。
112,12,candidate,（已提交语音回答）
113,12,interviewer,第5题（序列化和反序列化）：请简述相关知识点。
114,12,candidate,（已提交语音回答）
115,13,interviewer,第1题（变量）：请简述相关知识点。
116,13,candidate,（已提交语音回答）
117,13,interviewer,第2题（集合）：请简述相关知识点。
118,13,candidate,（已提交语音回答）
119,13,interviewer,第3题（基础概念与常识）：请简述相关知识点。
120,13,candidate,（已提交语音回答）
121,13,interviewer,第4题（注解）：请简述相关知识点。
122,13,candidate,（已提交语音回答）
123,14,interviewer,第1题（Object）：请简述相关知识点。
124,14,candidate,（已提交语音回答）
125,14,interviewer,第2题（序列化和反序列化）：请简述相关知识点。
126,14,candidate,（已提交语音回答）
127,14,interviewer,第3题（基本数据类型）：请简述相关知识点。
128,14,candidate,（已提交语音回答）
129,14,interviewer,第4题（Spring）：请简述相关知识点。
130,14,candidate,（已提交语音回答）
131,15,interviewer,第1题（异常）：请简述相关知识点。
132,15,candidate,（已提交语音回答）
133,15,interviewer,第2题（Object）：请简述相关知识点。
134,15,candidate,（已提交语音回答）
135,15,interviewer,第3题（I/O）：请简述相关知识点。
136,15,candidate,（已提交语音回答）
137,16,interviewer,第1题（反射）：请简述相关知识点。
138,16,candidate,（已提交语音回答）
139,16,interviewer,第2题（Spring）：请简述相关知识点。
140,16,candidate,（已提交语音回答）
141,16,interviewer,第3题（Object）：请简述相关知识点。
142,16,candidate,（已提交语音回答）
143,16,interviewer,第4题（数据库）：请简述相关知识点。
144,16,candidate,（已提交语音回答）
145,17,interviewer,第1题（基本语法）：请简述相关知识点。
146,17,candidate,（已提交语音回答）
147,17,interviewer,第2题（并发）：请简述相关知识点。
148,17,candidate,（已提交语音回答）
149,17,interviewer,第3题（基本数据类型）：请简述相关知识点。
150,17,candidate,（已提交语音回答）
151,17,interviewer,第4题（异常）：请简述相关知识点。
152,17,candidate,（已提交语音回答）
153,17,interviewer,第5题（数据库）：请简述相关知识点。
154,17,candidate,（已提交语音回答）
155,18,interviewer,第1题（系统设计）：请简述相关知识点。
156,18,candidate,（已提交语音回答）
157,18,interviewer,第2题（数据库）：请简述相关知识点。
158,18,candidate,（已提交语音回答）
159,18,interviewer,第3题（Object）：请简述相关知识点。
160,18,candidate,（已提交语音回答）
161,18,interviewer,第4题（I/O）：请简述相关知识点。
162,18,candidate,（已提交语音回答）
163,18,interviewer,第5题（集合）：请简述相关知识点。
164,18,candidate,（已提交语音回答）
165,18,interviewer,第6题（数据库）：请简述相关知识点。
166,18,candidate,（已提交语音回答）
167,19,interviewer,第1题（Spring）：请简述相关知识点。
168,19,candidate,（已提交语音回答）
169,19,interviewer,第2题（基本数据类型）：请简述相关知识点。
170,19,candidate,（已提交语音回答）
171,19,interviewer,第3题（Spring）：请简述相关知识点。
172,19,candidate,（已提交语音回答）
173,19,interviewer,第4题（基础概念与常识）：请简述相关知识点。
174,19,candidate,（已提交语音回答）
175,19,interviewer,第5题（Spring）：请简述相关知识点。
176,19,candidate,（已提交语音回答）
177,20,interviewer,第1题（变量）：请简述相关知识点。
178,20,candidate,（已提交语音回答）
179,20,interviewer,第2题（Spring）：请简述相关知识点。
180,20,candidate,（已提交语音回答）
181,20,interviewer,第3题（注解）：请简述相关知识点。
182,20,candidate,（已提交语音回答）
183,20,interviewer,第4题（泛型）：请简述相关知识点。
184,20,candidate,（已提交语音回答）
185,20,interviewer,第5题（基本数据类型）：请简述相关知识点。
186,20,candidate,（已提交语音回答）
187,20,interviewer,第6题（基本语法）：请简述相关知识点。
188,20,candidate,（已提交语音回答）
