session_id,participant_id,ability_label,source
176,59,3,synthetic_expert
177,59,4,synthetic_expert
178,60,3,synthetic_expert
179,60,3,synthetic_expert
180,60,3,synthetic_expert
181,61,2,synthetic_expert
182,61,3,synthetic_expert
183,61,3,synthetic_expert
184,62,4,synthetic_expert
185,62,3,synthetic_expert
186,62,4,synthetic_expert
187,63,2,synthetic_expert
188,63,3,synthetic_expert
189,63,3,synthetic_expert
190,64,5,synthetic_expert
191,64,4,synthetic_expert
192,64,4,synthetic_expert
193,65,4,synthetic_expert
194,65,3,synthetic_expert
195,65,4,synthetic_expert
196,66,3,synthetic_expert
197,66,4,synthetic_expert
198,66,4,synthetic_expert
199,67,4,synthetic_expert
200,67,5,synthetic_expert
201,67,4,synthetic_expert
202,68,4,synthetic_expert
203,68,4,synthetic_expert
204,68,4,synthetic_expert
205,69,4,synthetic_expert
206,69,3,synthetic_expert
207,69,4,synthetic_expert
208,70,3,synthetic_expert
209,70,3,synthetic_expert
210,70,3,synthetic_expert
211,71,3,synthetic_expert
212,71,3,synthetic_expert
213,71,3,synthetic_expert
214,72,2,synthetic_expert
215,72,3,synthetic_expert
216,72,3,synthetic_expert
217,73,5,synthetic_expert
218,73,5,synthetic_expert
219,73,3,synthetic_expert
220,74,3,synthetic_expert
221,74,4,synthetic_expert
222,74,3,synthetic_expert
223,75,3,synthetic_expert
224,75,2,synthetic_expert
225,75,3,synthetic_expert
226,76,4,synthetic_expert
227,76,5,synthetic_expert
228,76,5,synthetic_expert
229,77,4,synthetic_expert
230,77,3,synthetic_expert
231,77,4,synthetic_expert
232,78,4,synthetic_expert
233,78,3,synthetic_expert
234,78,4,synthetic_expert
235,79,3,synthetic_expert
236,79,3,synthetic_expert
237,79,3,synthetic_expert
238,80,4,synthetic_expert
239,80,3,synthetic_expert
240,80,4,synthetic_expert
241,81,4,synthetic_expert
242,81,4,synthetic_expert
243,81,4,synthetic_expert
244,82,3,synthetic_expert
245,82,3,synthetic_expert
246,82,3,synthetic_expert
247,83,3,synthetic_expert
248,83,4,synthetic_expert
249,83,3,synthetic_expert
250,84,3,synthetic_expert
251,84,4,synthetic_expert
252,84,3,synthetic_expert
253,85,4,synthetic_expert
254,85,2,synthetic_expert
255,85,4,synthetic_expert
256,86,4,synthetic_expert
257,86,4,synthetic_expert
258,86,4,synthetic_expert
259,87,5,synthetic_expert
260,87,4,synthetic_expert
261,87,4,synthetic_expert
262,88,3,synthetic_expert
263,88,3,synthetic_expert
264,88,4,synthetic_expert
265,89,4,synthetic_expert
266,89,4,synthetic_expert
267,89,4,synthetic_expert
268,90,3,synthetic_expert
269,90,3,synthetic_expert
270,90,3,synthetic_expert
271,91,2,synthetic_expert
272,91,2,synthetic_expert
273,91,2,synthetic_expert
274,92,3,synthetic_expert
275,92,3,synthetic_expert
276,92,3,synthetic_expert
277,93,3,synthetic_expert
278,93,4,synthetic_expert
279,93,3,synthetic_expert
280,94,4,synthetic_expert
281,94,3,synthetic_expert
282,94,4,synthetic_expert
283,95,2,synthetic_expert
284,95,4,synthetic_expert
285,95,3,synthetic_expert
286,96,3,synthetic_expert
287,96,4,synthetic_expert
288,96,4,synthetic_expert
289,97,3,synthetic_expert
290,97,3,synthetic_expert
291,97,2,synthetic_expert
292,98,3,synthetic_expert
293,98,4,synthetic_expert
294,98,4,synthetic_expert
295,99,4,synthetic_expert
296,99,4,synthetic_expert
297,99,4,synthetic_expert
298,100,3,synthetic_expert
299,100,4,synthetic_expert
300,100,4,synthetic_expert
