eval_id,provenance,llm_available,fallback_triggered
171,llm,1,0
172,llm,1,0
173,rule,1,0
174,rule,1,0
175,rule,1,0
176,llm,1,0
177,rule,1,0
178,llm,1,0
179,rule,1,0
180,rule,1,0
181,llm,1,0
182,rule,1,0
183,rule,1,0
184,llm,1,0
185,hybrid,1,0
186,llm,1,0
187,llm,1,0
188,rule,1,0
189,rule,1,0
190,llm,1,0
191,llm,1,0
192,llm,1,0
193,rule,1,0
194,rule,1,0
195,llm,1,0
196,rule,1,0
197,rule,1,0
198,rule,1,0
199,rule,1,0
200,rule,1,0
201,hybrid,1,0
202,rule,1,0
203,rule,1,0
204,rule,1,0
205,rule,1,0
206,rule,1,0
207,rule,1,0
208,rule,1,0
209,rule,1,0
210,rule,1,0
211,rule,1,0
212,rule,1,1
213,llm,1,0
214,rule,1,0
215,rule,1,0
216,rule,1,1
217,rule,1,0
218,rule,1,0
219,rule,1,0
220,rule,1,0
221,rule,1,0
222,rule,1,0
223,llm,1,0
224,rule,1,0
225,rule,1,0
226,rule,1,1
227,rule,1,0
228,rule,1,0
229,rule,1,0
230,rule,1,0
231,llm,1,0
232,rule,1,0
233,rule,1,0
234,rule,1,0
235,llm,1,0
236,rule,1,0
237,rule,1,0
238,rule,1,0
239,rule,1,0
240,rule,1,0
241,rule,1,0
242,rule,1,0
243,rule,1,0
244,rule,1,0
245,rule,1,0
246,rule,1,0
247,hybrid,1,0
248,rule,1,1
249,rule,1,0
250,rule,1,0
251,rule,1,0
252,rule,1,0
253,llm,1,0
254,rule,1,0
255,rule,1,0
256,rule,1,0
257,rule,1,0
258,rule,1,0
259,rule,1,0
260,rule,1,0
261,rule,1,1
262,rule,1,0
263,rule,1,0
264,rule,1,0
265,rule,1,0
266,rule,1,0
267,rule,1,0
268,rule,1,0
269,llm,1,0
270,rule,1,0
271,llm,1,0
272,rule,1,0
273,rule,1,0
274,rule,1,0
275,hybrid,1,0
276,rule,1,0
277,rule,1,0
278,rule,1,0
279,rule,1,1
280,rule,1,0
281,rule,1,0
282,rule,1,0
283,rule,1,1
284,rule,1,0
285,rule,1,0
286,rule,1,0
287,rule,1,0
288,rule,1,0
289,rule,1,0
290,rule,1,0
291,rule,1,1
292,rule,1,0
293,hybrid,1,0
294,rule,1,0
295,rule,1,0
296,rule,1,0
297,rule,1,1
298,rule,1,0
299,rule,1,0
300,rule,1,0
301,rule,1,0
302,rule,1,0
303,rule,1,0
304,hybrid,1,0
305,rule,1,1
306,rule,1,0
307,hybrid,1,0
308,rule,1,0
309,rule,1,0
310,rule,1,0
311,rule,1,0
312,rule,1,0
313,hybrid,1,0
314,rule,1,0
315,rule,1,0
316,rule,1,0
317,llm,1,0
318,llm,1,0
319,rule,1,0
320,rule,1,0
321,rule,1,0
322,rule,1,0
323,rule,1,0
324,rule,1,0
325,rule,1,0
326,rule,1,0
327,llm,1,0
328,rule,1,0
329,rule,1,0
330,rule,1,0
331,rule,1,0
332,rule,1,0
333,rule,1,0
334,llm,1,0
335,rule,1,0
336,rule,1,0
337,rule,1,0
338,rule,1,0
339,rule,1,0
340,rule,1,0
341,rule,1,0
342,rule,1,0
343,rule,1,0
344,rule,1,0
345,rule,1,0
346,rule,1,0
347,rule,1,0
348,rule,1,0
349,rule,1,0
350,rule,1,0
351,rule,1,0
352,hybrid,1,0
353,rule,1,0
354,rule,1,0
355,rule,1,0
356,rule,1,0
357,rule,1,0
358,rule,1,0
359,rule,1,0
360,rule,1,0
361,rule,1,0
362,rule,1,0
363,rule,1,0
364,rule,1,0
365,rule,1,1
366,rule,1,1
367,rule,1,0
368,rule,1,0
369,rule,1,0
370,rule,1,0
371,rule,1,0
372,rule,1,0
373,llm,1,0
374,hybrid,1,0
375,rule,1,0
376,rule,1,0
377,llm,1,0
378,rule,1,0
379,rule,1,0
380,rule,1,1
381,rule,1,0
382,rule,1,0
383,rule,1,0
384,rule,1,0
385,rule,1,0
386,rule,1,0
387,rule,1,0
388,rule,1,0
389,rule,1,0
390,llm,1,0
391,rule,1,0
392,rule,1,0
393,rule,1,0
394,rule,1,0
395,rule,1,0
396,rule,1,0
397,rule,1,1
398,rule,1,0
399,rule,1,1
400,hybrid,1,0
401,llm,1,0
402,rule,1,0
403,hybrid,1,0
404,rule,1,0
405,rule,1,0
406,rule,1,0
407,llm,1,0
408,rule,1,0
409,rule,1,0
410,rule,1,0
411,rule,1,0
412,llm,1,0
413,rule,1,0
414,rule,1,0
415,llm,1,0
416,rule,1,0
417,rule,1,0
418,hybrid,1,0
419,rule,1,0
420,hybrid,1,0
421,rule,1,0
422,rule,1,0
423,rule,1,0
424,rule,1,0
425,rule,1,0
426,llm,1,0
427,rule,1,0
428,rule,1,0
429,rule,1,0
430,rule,1,0
431,rule,1,1
432,hybrid,1,0
433,llm,1,0
434,rule,1,0
