id,session_id,role,content
93,8,interviewer,第4题（Object）：请简述相关知识点。
94,8,candidate,（已提交语音回答）
95,8,interviewer,第5题（基础概念与常识）：请简述相关知识点。
96,8,candidate,（已提交语音回答）
97,8,interviewer,第6题（集合）：请简述相关知识点。
98,8,candidate,（已提交语音回答）
99,8,interviewer,第7题（String）：请简述相关知识点。
100,8,candidate,（已提交语音回答）
101,8,interviewer,第8题（String）：请简述相关知识点。
102,8,candidate,（已提交语音回答）
103,9,interviewer,第1题（基础概念与常识）：请简述相关知识点。
104,9,candidate,（已提交语音回答）
105,9,interviewer,第2题（注解）：请简述相关知识点。
106,9,candidate,（已提交语音回答）
107,9,interviewer,第3题（并发）：请简述相关知识点。
108,9,candidate,（已提交语音回答）
109,9,interviewer,第4题（数据库）：请简述相关知识点。
110,9,candidate,（已提交语音回答）
111,9,interviewer,第5题（序列化和反序列化）：请简述相关知识点。
112,9,candidate,（已提交语音回答）
113,10,interviewer,第1题（变量）：请简述相关知识点。
114,10,candidate,（已提交语音回答）
115,10,interviewer,第2题（集合）：请简述相关知识点。
116,10,candidate,（已提交语音回答）
117,10,interviewer,第3题（基础概念与常识）：请简述相关知识点。
118,10,candidate,（已提交语音回答）
119,10,interviewer,第4题（注解）：请简述相关知识点。
120,10,candidate,（已提交语音回答）
121,10,interviewer,第5题（集合）：请简述相关知识点。
122,10,candidate,（已提交语音回答）
123,10,interviewer,第6题（异常）：请简述相关知识点。
124,10,candidate,（已提交语音回答）
125,11,interviewer,第1题（Spring）：请简述相关知识点。
126,11,candidate,（已提交语音回答）
127,11,interviewer,第2题（Spring）：请简述相关知识点。
128,11,candidate,（已提交语音回答）
129,11,interviewer,第3题（异常）：请简述相关知识点。
130,11,candidate,（已提交语音回答）
131,11,interviewer,第4题（Object）：请简述相关知识点。
132,11,candidate,（已提交语音回答）
133,12,interviewer,第1题（面向对象基础）：请简述相关知识点。
134,12,candidate,（已提交语音回答）
135,12,interviewer,第2题（泛型）：请简述相关知识点。
136,12,candidate,（已提交语音回答）
137,12,interviewer,第3题（Spring）：请简述相关知识点。
138,12,candidate,（已提交语音回答）
139,12,interviewer,第4题（Object）：请简述相关知识点。
140,12,candidate,（已提交语音回答）
141,12,interviewer,第5题（数据库）：请简述相关知识点。
142,12,candidate,（已提交语音回答）
143,12,interviewer,第6题（基本语法）：请简述相关知识点。
144,12,candidate,（已提交语音回答）
145,13,interviewer,第1题（并发）：请简述相关知识点。
146,13,candidate,（已提交语音回答）
147,13,interviewer,第2题（基本数据类型）：请简述相关知识点。
148,13,candidate,（已提交语音回答）
149,13,interviewer,第3题（异常）：请简述相关知识点。
150,13,candidate,（已提交语音回答）
151,13,interviewer,第4题（数据库）：请简述相关知识点。
152,13,candidate,（已提交语音回答）
153,13,interviewer,第5题（系统设计）：请简述相关知识点。
154,13,candidate,（已提交语音回答）
155,14,interviewer,第1题（数据库）：请简述相关知识点。
156,14,candidate,（已提交语音回答）
157,14,interviewer,第2题（Object）：请简述相关知识点。
158,14,candidate,（已提交语音回答）
159,14,interviewer,第3题（I/O）：请简述相关知识点。
160,14,candidate,（已提交语音回答）
161,14,interviewer,第4题（集合）：请简述相关知识点。
162,14,candidate,（已提交语音回答）
163,15,interviewer,第1题（String）：请简述相关知识点。
164,15,candidate,（已提交语音回答）
165,15,interviewer,第2题（变量）：请简述相关知识点。
166,15,candidate,（已提交语音回答）
167,15,interviewer,第3题（方法）：请简述相关知识点。
168,15,candidate,（已提交语音回答）
169,16,interviewer,第1题（异常）：请简述相关知识点。
170,16,candidate,（已提交语音回答）
171,16,interviewer,第2题（反射）：请简述相关知识点。
172,16,candidate,（已提交语音回答）
173,16,interviewer,第3题（Spring）：请简述相关知识点。
174,16,candidate,（已提交语音回答）
175,16,interviewer,第4题（泛型）：请简述相关知识点。
176,16,candidate,（已提交语音回答）
177,17,interviewer,第1题（Spring）：请简述相关知识点。
178,17,candidate,（已提交语音回答）
179,17,interviewer,第2题（注解）：请简述相关知识点。
180,17,candidate,（已提交语音回答）
181,17,interviewer,第3题（泛型）：请简述相关知识点。
182,17,candidate,（已提交语音回答）
183,17,interviewer,第4题（基本数据类型）：请简述相关知识点。
184,17,candidate,（已提交语音回答）
185,17,interviewer,第5题（基本语法）：请简述相关知识点。
186,17,candidate,（已提交语音回答）
187,17,interviewer,第6题（基础概念与常识）：请简述相关知识点。
188,17,candidate,（已提交语音回答）
189,17,interviewer,第7题（Spring）：请简述相关知识点。
190,17,candidate,（已提交语音回答）
191,18,interviewer,第1题（Spring）：请简述相关知识点。
192,18,candidate,（已提交语音回答）
193,18,interviewer,第2题（方法）：请简述相关知识点。
194,18,candidate,（已提交语音回答）
195,18,interviewer,第3题（数据库）：请简述相关知识点。
196,18,candidate,（已提交语音回答）
197,19,interviewer,第1题（序列化和反序列化）：请简述相关知识点。
198,19,candidate,（已提交语音回答）
199,19,interviewer,第2题（SPI）：请简述相关知识点。
200,19,candidate,（已提交语音回答）
201,19,interviewer,第3题（SPI）：请简述相关知识点。
202,19,candidate,（已提交语音回答）
203,19,interviewer,第4题（方法）：请简述相关知识点。
204,19,candidate,（已提交语音回答）
205,19,interviewer,第5题（面向对象基础）：请简述相关知识点。
206,19,candidate,（已提交语音回答）
207,19,interviewer,第6题（序列化和反序列化）：请简述相关知识点。
208,19,candidate,（已提交语音回答）
209,20,interviewer,第1题（异常）：请简述相关知识点。
210,20,candidate,（已提交语音回答）
211,20,interviewer,第2题（变量）：请简述相关知识点。
212,20,candidate,（已提交语音回答）
213,20,interviewer,第3题（异常）：请简述相关知识点。
214,20,candidate,（已提交语音回答）
215,20,interviewer,第4题（异常）：请简述相关知识点。
216,20,candidate,（已提交语音回答）
217,20,interviewer,第5题（泛型）：请简述相关知识点。
218,20,candidate,（已提交语音回答）
219,20,interviewer,第6题（I/O）：请简述相关知识点。
220,20,candidate,（已提交语音回答）
221,20,interviewer,第7题（变量）：请简述相关知识点。
222,20,candidate,（已提交语音回答）
223,20,interviewer,第8题（泛型）：请简述相关知识点。
224,20,candidate,（已提交语音回答）
225,21,interviewer,第1题（系统设计）：请简述相关知识点。
226,21,candidate,（已提交语音回答）
227,21,interviewer,第2题（注解）：请简述相关知识点。
228,21,candidate,（已提交语音回答）
229,21,interviewer,第3题（变量）：请简述相关知识点。
230,21,candidate,（已提交语音回答）
231,21,interviewer,第4题（序列化和反序列化）：请简述相关知识点。
232,21,candidate,（已提交语音回答）
233,21,interviewer,第5题（Spring）：请简述相关知识点。
234,21,candidate,（已提交语音回答）
235,21,interviewer,第6题（Object）：请简述相关知识点。
236,21,candidate,（已提交语音回答）
237,22,interviewer,第1题（基本数据类型）：请简述相关知识点。
238,22,candidate,（已提交语音回答）
239,22,interviewer,第2题（变量）：请简述相关知识点。
240,22,candidate,（已提交语音回答）
241,22,interviewer,第3题（序列化和反序列化）：请简述相关知识点。
242,22,candidate,（已提交语音回答）
243,22,interviewer,第4题（Spring）：请简述相关知识点。
244,22,candidate,（已提交语音回答）
245,22,interviewer,第5题（I/O）：请简述相关知识点。
246,22,candidate,（已提交语音回答）
247,22,interviewer,第6题（系统设计）：请简述相关知识点。
248,22,candidate,（已提交语音回答）
249,22,interviewer,第7题（String）：请简述相关知识点。
250,22,candidate,（已提交语音回答）
251,22,interviewer,第8题（系统设计）：请简述相关知识点。
252,22,candidate,（已提交语音回答）
253,23,interviewer,第1题（集合）：请简述相关知识点。
254,23,candidate,（已提交语音回答）
255,23,interviewer,第2题（JVM）：请简述相关知识点。
256,23,candidate,（已提交语音回答）
257,23,interviewer,第3题（反射）：请简述相关知识点。
258,23,candidate,（已提交语音回答）
259,23,interviewer,第4题（注解）：请简述相关知识点。
260,23,candidate,（已提交语音回答）
261,24,interviewer,第1题（反射）：请简述相关知识点。
262,24,candidate,（已提交语音回答）
263,24,interviewer,第2题（异常）：请简述相关知识点。
264,24,candidate,（已提交语音回答）
265,24,interviewer,第3题（基本数据类型）：请简述相关知识点。
266,24,candidate,（已提交语音回答）
267,24,interviewer,第4题（数据库）：请简述相关知识点。
268,24,candidate,（已提交语音回答）
269,24,interviewer,第5题（并发）：请简述相关知识点。
270,24,candidate,（已提交语音回答）
271,24,interviewer,第6题（String）：请简述相关知识点。
272,24,candidate,（已提交语音回答）
273,24,interviewer,第7题（JVM）：请简述相关知识点。
274,24,candidate,（已提交语音回答）
275,25,interviewer,第1题（Spring）：请简述相关知识点。
276,25,candidate,（已提交语音回答）
277,25,interviewer,第2题（集合）：请简述相关知识点。
278,25,candidate,（已提交语音回答）
279,25,interviewer,第3题（系统设计）：请简述相关知识点。
280,25,candidate,（已提交语音回答）
281,25,interviewer,第4题（JVM）：请简述相关知识点。
282,25,candidate,（已提交语音回答）
283,25,interviewer,第5题（面向对象基础）：请简述相关知识点。
284,25,candidate,（已提交语音回答）
285,25,interviewer,第6题（异常）：请简述相关知识点。
286,25,candidate,（已提交语音回答）
287,25,interviewer,第7题（JVM）：请简述相关知识点。
288,25,candidate,（已提交语音回答）
289,26,interviewer,第1题（异常）：请简述相关知识点。
290,26,candidate,（已提交语音回答）
291,26,interviewer,第2题（异常）：请简述相关知识点。
292,26,candidate,（已提交语音回答）
293,26,interviewer,第3题（基本数据类型）：请简述相关知识点。
294,26,candidate,（已提交语音回答）
295,26,interviewer,第4题（方法）：请简述相关知识点。
296,26,candidate,（已提交语音回答）
297,26,interviewer,第5题（注解）：请简述相关知识点。
298,26,candidate,（已提交语音回答）
299,26,interviewer,第6题（Object）：请简述相关知识点。
300,26,candidate,（已提交语音回答）
301,26,interviewer,第7题（数据库）：请简述相关知识点。
302,26,candidate,（已提交语音回答）
303,26,interviewer,第8题（数据库）：请简述相关知识点。
304,26,candidate,（已提交语音回答）
305,27,interviewer,第1题（String）：请简述相关知识点。
306,27,candidate,（已提交语音回答）
307,27,interviewer,第2题（序列化和反序列化）：请简述相关知识点。
308,27,candidate,（已提交语音回答）
309,27,interviewer,第3题（系统设计）：请简述相关知识点。
310,27,candidate,（已提交语音回答）
311,27,interviewer,第4题（并发）：请简述相关知识点。
312,27,candidate,（已提交语音回答）
313,27,interviewer,第5题（I/O）：请简述相关知识点。
314,27,candidate,（已提交语音回答）
315,27,interviewer,第6题（方法）：请简述相关知识点。
316,27,candidate,（已提交语音回答）
317,27,interviewer,第7题（数据库）：请简述相关知识点。
318,27,candidate,（已提交语音回答）
319,28,interviewer,第1题（String）：请简述相关知识点。
320,28,candidate,（已提交语音回答）
321,28,interviewer,第2题（集合）：请简述相关知识点。
322,28,candidate,（已提交语音回答）
323,28,interviewer,第3题（Object）：请简述相关知识点。
324,28,candidate,（已提交语音回答）
325,28,interviewer,第4题（泛型）：请简述相关知识点。
326,28,candidate,（已提交语音回答）
327,28,interviewer,第5题（并发）：请简述相关知识点。
328,28,candidate,（已提交语音回答）
329,28,interviewer,第6题（SPI）：请简述相关知识点。
330,28,candidate,（已提交语音回答）
331,29,interviewer,第1题（基本数据类型）：请简述相关知识点。
332,29,candidate,（已提交语音回答）
333,29,interviewer,第2题（异常）：请简述相关知识点。
334,29,candidate,（已提交语音回答）
335,29,interviewer,第3题（异常）：请简述相关知识点。
336,29,candidate,（已提交语音回答）
337,29,interviewer,第4题（数据库）：请简述相关知识点。
338,29,candidate,（已提交语音回答）
339,30,interviewer,第1题（泛型）：请简述相关知识点。
340,30,candidate,（已提交语音回答）
341,30,interviewer,第2题（变量）：请简述相关知识点。
342,30,candidate,（已提交语音回答）
343,30,interviewer,第3题（反射）：请简述相关知识点。
344,30,candidate,（已提交语音回答）
345,31,interviewer,第1题（I/O）：请简述相关知识点。
346,31,candidate,（已提交语音回答）
347,31,interviewer,第2题（基础概念与常识）：请简述相关知识点。
348,31,candidate,（已提交语音回答）
349,31,interviewer,第3题（反射）：请简述相关知识点。
350,31,candidate,（已提交语音回答）
351,31,interviewer,第4题（数据库）：请简述相关知识点。
352,31,candidate,（已提交语音回答）
353,31,interviewer,第5题（SPI）：请简述相关知识点。
354,31,candidate,（已提交语音回答）
355,31,interviewer,第6题（String）：请简述相关知识点。
356,31,candidate,（已提交语音回答）
357,31,interviewer,第7题（基础概念与常识）：请简述相关知识点。
358,31,candidate,（已提交语音回答）
359,32,interviewer,第1题（方法）：请简述相关知识点。
360,32,candidate,（已提交语音回答）
361,32,interviewer,第2题（基础概念与常识）：请简述相关知识点。
362,32,candidate,（已提交语音回答）
363,32,interviewer,第3题（Spring）：请简述相关知识点。
364,32,candidate,（已提交语音回答）
365,32,interviewer,第4题（数据库）：请简述相关知识点。
366,32,candidate,（已提交语音回答）
367,32,interviewer,第5题（基本数据类型）：请简述相关知识点。
368,32,candidate,（已提交语音回答）
369,33,interviewer,第1题（异常）：请简述相关知识点。
370,33,candidate,（已提交语音回答）
371,33,interviewer,第2题（I/O）：请简述相关知识点。
372,33,candidate,（已提交语音回答）
373,33,interviewer,第3题（注解）：请简述相关知识点。
374,33,candidate,（已提交语音回答）
375,33,interviewer,第4题（注解）：请简述相关知识点。
376,33,candidate,（已提交语音回答）
377,33,interviewer,第5题（泛型）：请简述相关知识点。
378,33,candidate,（已提交语音回答）
379,33,interviewer,第6题（Object）：请简述相关知识点。
380,33,candidate,（已提交语音回答）
381,33,interviewer,第7题（并发）：请简述相关知识点。
382,33,candidate,（已提交语音回答）
383,34,interviewer,第1题（并发）：请简述相关知识点。
384,34,candidate,（已提交语音回答）
385,34,interviewer,第2题（String）：请简述相关知识点。
386,34,candidate,（已提交语音回答）
387,34,interviewer,第3题（异常）：请简述相关知识点。
388,34,candidate,（已提交语音回答）
389,34,interviewer,第4题（并发）：请简述相关知识点。
390,34,candidate,（已提交语音回答）
391,34,interviewer,第5题（Spring）：请简述相关知识点。
392,34,candidate,（已提交语音回答）
393,35,interviewer,第1题（集合）：请简述相关知识点。
394,35,candidate,（已提交语音回答）
395,35,interviewer,第2题（Object）：请简述相关知识点。
396,35,candidate,（已提交语音回答）
397,35,interviewer,第3题（面向对象基础）：请简述相关知识点。
398,35,candidate,（已提交语音回答）
399,35,interviewer,第4题（泛型）：请简述相关知识点。
400,35,candidate,（已提交语音回答）
401,35,interviewer,第5题（JVM）：请简述相关知识点。
402,35,candidate,（已提交语音回答）
403,36,interviewer,第1题（变量）：请简述相关知识点。
404,36,candidate,（已提交语音回答）
405,36,interviewer,第2题（反射）：请简述相关知识点。
406,36,candidate,（已提交语音回答）
407,36,interviewer,第3题（泛型）：请简述相关知识点。
408,36,candidate,（已提交语音回答）
409,36,interviewer,第4题（方法）：请简述相关知识点。
410,36,candidate,（已提交语音回答）
411,36,interviewer,第5题（数据库）：请简述相关知识点。
412,36,candidate,（已提交语音回答）
413,37,interviewer,第1题（并发）：请简述相关知识点。
414,37,candidate,（已提交语音回答）
415,37,interviewer,第2题（泛型）：请简述相关知识点。
416,37,candidate,（已提交语音回答）
417,37,interviewer,第3题（I/O）：请简述相关知识点。
418,37,candidate,（已提交语音回答）
419,37,interviewer,第4题（基本语法）：请简述相关知识点。
420,37,candidate,（已提交语音回答）
421,37,interviewer,第5题（反射）：请简述相关知识点。
422,37,candidate,（已提交语音回答）
423,38,interviewer,第1题（变量）：请简述相关知识点。
424,38,candidate,（已提交语音回答）
425,38,interviewer,第2题（系统设计）：请简述相关知识点。
426,38,candidate,（已提交语音回答）
427,38,interviewer,第3题（反射）：请简述相关知识点。
428,38,candidate,（已提交语音回答）
429,38,interviewer,第4题（基本语法）：请简述相关知识点。
430,38,candidate,（已提交语音回答）
431,38,interviewer,第5题（基础概念与常识）：请简述相关知识点。
432,38,candidate,（已提交语音回答）
433,38,interviewer,第6题（面向对象基础）：请简述相关知识点。
434,38,candidate,（已提交语音回答）
435,38,interviewer,第7题（面向对象基础）：请简述相关知识点。
436,38,candidate,（已提交语音回答）
437,39,interviewer,第1题（集合）：请简述相关知识点。
438,39,candidate,（已提交语音回答）
439,39,interviewer,第2题（基本语法）：请简述相关知识点。
440,39,candidate,（已提交语音回答）
441,39,interviewer,第3题（集合）：请简述相关知识点。
442,39,candidate,（已提交语音回答）
443,39,interviewer,第4题（基础概念与常识）：请简述相关知识点。
444,39,candidate,（已提交语音回答）
445,39,interviewer,第5题（Object）：请简述相关知识点。
446,39,candidate,（已提交语音回答）
447,40,interviewer,第1题（Spring）：请简述相关知识点。
448,40,candidate,（已提交语音回答）
449,40,interviewer,第2题（方法）：请简述相关知识点。
450,40,candidate,（已提交语音回答）
451,40,interviewer,第3题（系统设计）：请简述相关知识点。
452,40,candidate,（已提交语音回答）
453,41,interviewer,第1题（反射）：请简述相关知识点。
454,41,candidate,（已提交语音回答）
455,41,interviewer,第2题（反射）：请简述相关知识点。
456,41,candidate,（已提交语音回答）
457,41,interviewer,第3题（JVM）：请简述相关知识点。
458,41,candidate,（已提交语音回答）
459,41,interviewer,第4题（系统设计）：请简述相关知识点。
460,41,candidate,（已提交语音回答）
461,41,interviewer,第5题（系统设计）：请简述相关知识点。
462,41,candidate,（已提交语音回答）
463,41,interviewer,第6题（数据库）：请简述相关知识点。
464,41,candidate,（已提交语音回答）
465,42,interviewer,第1题（泛型）：请简述相关知识点。
466,42,candidate,（已提交语音回答）
467,42,interviewer,第2题（面向对象基础）：请简述相关知识点。
468,42,candidate,（已提交语音回答）
469,42,interviewer,第3题（泛型）：请简述相关知识点。
470,42,candidate,（已提交语音回答）
471,42,interviewer,第4题（并发）：请简述相关知识点。
472,42,candidate,（已提交语音回答）
473,43,interviewer,第1题（SPI）：请简述相关知识点。
474,43,candidate,（已提交语音回答）
475,43,interviewer,第2题（面向对象基础）：请简述相关知识点。
476,43,candidate,（已提交语音回答）
477,43,interviewer,第3题（反射）：请简述相关知识点。
478,43,candidate,（已提交语音回答）
479,43,interviewer,第4题（Spring）：请简述相关知识点。
480,43,candidate,（已提交语音回答）
481,43,interviewer,第5题（注解）：请简述相关知识点。
482,43,candidate,（已提交语音回答）
483,44,interviewer,第1题（JVM）：请简述相关知识点。
484,44,candidate,（已提交语音回答）
485,44,interviewer,第2题（集合）：请简述相关知识点。
486,44,candidate,（已提交语音回答）
487,44,interviewer,第3题（系统设计）：请简述相关知识点。
488,44,candidate,（已提交语音回答）
489,44,interviewer,第4题（基本语法）：请简述相关知识点。
490,44,candidate,（已提交语音回答）
491,44,interviewer,第5题（反射）：请简述相关知识点。
492,44,candidate,（已提交语音回答）
493,44,interviewer,第6题（String）：请简述相关知识点。
494,44,candidate,（已提交语音回答）
495,44,interviewer,第7题（面向对象基础）：请简述相关知识点。
496,44,candidate,（已提交语音回答）
497,45,interviewer,第1题（String）：请简述相关知识点。
498,45,candidate,（已提交语音回答）
499,45,interviewer,第2题（集合）：请简述相关知识点。
500,45,candidate,（已提交语音回答）
501,45,interviewer,第3题（并发）：请简述相关知识点。
502,45,candidate,（已提交语音回答）
503,45,interviewer,第4题（泛型）：请简述相关知识点。
504,45,candidate,（已提交语音回答）
505,46,interviewer,第1题（并发）：请简述相关知识点。
506,46,candidate,（已提交语音回答）
507,46,interviewer,第2题（I/O）：请简述相关知识点。
508,46,candidate,（已提交语音回答）
509,46,interviewer,第3题（方法）：请简述相关知识点。
510,46,candidate,（已提交语音回答）
511,46,interviewer,第4题（序列化和反序列化）：请简述相关知识点。
512,46,candidate,（已提交语音回答）
513,46,interviewer,第5题（反射）：请简述相关知识点。
514,46,candidate,（已提交语音回答）
515,46,interviewer,第6题（数据库）：请简述相关知识点。
516,46,candidate,（已提交语音回答）
517,47,interviewer,第1题（方法）：请简述相关知识点。
518,47,candidate,（已提交语音回答）
519,47,interviewer,第2题（注解）：请简述相关知识点。
520,47,candidate,（已提交语音回答）
521,47,interviewer,第3题（Object）：请简述相关知识点。
522,47,candidate,（已提交语音回答）
523,47,interviewer,第4题（异常）：请简述相关知识点。
524,47,candidate,（已提交语音回答）
525,48,interviewer,第1题（注解）：请简述相关知识点。
526,48,candidate,（已提交语音回答）
527,48,interviewer,第2题（I/O）：请简述相关知识点。
528,48,candidate,（已提交语音回答）
529,48,interviewer,第3题（基础概念与常识）：请简述相关知识点。
530,48,candidate,（已提交语音回答）
531,48,interviewer,第4题（方法）：请简述相关知识点。
532,48,candidate,（已提交语音回答）
533,48,interviewer,第5题（集合）：请简述相关知识点。
534,48,candidate,（已提交语音回答）
535,48,interviewer,第6题（String）：请简述相关知识点。
536,48,candidate,（已提交语音回答）
537,48,interviewer,第7题（基础概念与常识）：请简述相关知识点。
538,48,candidate,（已提交语音回答）
539,49,interviewer,第1题（并发）：请简述相关知识点。
540,49,candidate,（已提交语音回答）
541,49,interviewer,第2题（I/O）：请简述相关知识点。
542,49,candidate,（已提交语音回答）
543,49,interviewer,第3题（Spring）：请简述相关知识点。
544,49,candidate,（已提交语音回答）
545,49,interviewer,第4题（并发）：请简述相关知识点。
546,49,candidate,（已提交语音回答）
547,49,interviewer,第5题（异常）：请简述相关知识点。
548,49,candidate,（已提交语音回答）
549,50,interviewer,第1题（反射）：请简述相关知识点。
550,50,candidate,（已提交语音回答）
551,50,interviewer,第2题（基础概念与常识）：请简述相关知识点。
552,50,candidate,（已提交语音回答）
553,50,interviewer,第3题（反射）：请简述相关知识点。
554,50,candidate,（已提交语音回答）
555,50,interviewer,第4题（反射）：请简述相关知识点。
556,50,candidate,（已提交语音回答）
557,50,interviewer,第5题（异常）：请简述相关知识点。
558,50,candidate,（已提交语音回答）
559,50,interviewer,第6题（面向对象基础）：请简述相关知识点。
560,50,candidate,（已提交语音回答）
561,50,interviewer,第7题（系统设计）：请简述相关知识点。
562,50,candidate,（已提交语音回答）
563,51,interviewer,第1题（并发）：请简述相关知识点。
564,51,candidate,（已提交语音回答）
565,51,interviewer,第2题（泛型）：请简述相关知识点。
566,51,candidate,（已提交语音回答）
567,51,interviewer,第3题（集合）：请简述相关知识点。
568,51,candidate,（已提交语音回答）
569,51,interviewer,第4题（基本数据类型）：请简述相关知识点。
570,51,candidate,（已提交语音回答）
571,51,interviewer,第5题（反射）：请简述相关知识点。
572,51,candidate,（已提交语音回答）
573,51,interviewer,第6题（集合）：请简述相关知识点。
574,51,candidate,（已提交语音回答）
575,52,interviewer,第1题（I/O）：请简述相关知识点。
576,52,candidate,（已提交语音回答）
577,52,interviewer,第2题（SPI）：请简述相关知识点。
578,52,candidate,（已提交语音回答）
579,52,interviewer,第3题（反射）：请简述相关知识点。
580,52,candidate,（已提交语音回答）
581,52,interviewer,第4题（数据库）：请简述相关知识点。
582,52,candidate,（已提交语音回答）
583,52,interviewer,第5题（系统设计）：请简述相关知识点。
584,52,candidate,（已提交语音回答）
585,52,interviewer,第6题（反射）：请简述相关知识点。
586,52,candidate,（已提交语音回答）
587,52,interviewer,第7题（异常）：请简述相关知识点。
588,52,candidate,（已提交语音回答）
589,53,interviewer,第1题（系统设计）：请简述相关知识点。
590,53,candidate,（已提交语音回答）
591,53,interviewer,第2题（方法）：请简述相关知识点。
592,53,candidate,（已提交语音回答）
593,53,interviewer,第3题（基础概念与常识）：请简述相关知识点。
594,53,candidate,（已提交语音回答）
595,53,interviewer,第4题（基本语法）：请简述相关知识点。
596,53,candidate,（已提交语音回答）
597,53,interviewer,第5题（基本数据类型）：请简述相关知识点。
598,53,candidate,（已提交语音回答）
599,53,interviewer,第6题（面向对象基础）：请简述相关知识点。
600,53,candidate,（已提交语音回答）
601,53,interviewer,第7题（SPI）：请简述相关知识点。
602,53,candidate,（已提交语音回答）
603,54,interviewer,第1题（泛型）：请简述相关知识点。
604,54,candidate,（已提交语音回答）
605,54,interviewer,第2题（并发）：请简述相关知识点。
