response_id,evaluator_id,correctness,depth,clarity,practicality,tradeoffs,overall_score
283,2,0.01,0,0.55,0.71,0.34,0.3687
151,1,0.0,0,0.55,0.73,0.32,0.1093
151,2,0.02,0.02,0.53,0.65,0.33,0.1934
322,1,0.11,0.15,0.59,0.35,0.4,0.4707
322,2,0.25,0.19,0.78,0.31,0.46,0.2997
317,1,0.25,0,0.81,0.42,0.19,0.5446
317,2,0.16,0,0.79,0.49,0.12,0.2959
186,1,0.33,0.08,0.39,0.51,0.35,0.2071
186,2,0.09,0.12,0.44,0.49,0.48,0.2642
296,1,0.25,0.13,0.42,0.48,0.27,0.316
296,2,0.43,0.18,0.48,0.46,0.3,0.3399
99,1,0.46,0.24,0.46,0.49,0.36,0.2396
99,2,0.5,0.18,0.39,0.51,0.2,0.342
361,1,0.54,0.27,0.67,0.37,0.34,0.5182
361,2,0.6,0.34,0.42,0.3,0.35,0.6694
36,1,0.16,0.01,0.45,0.32,0.48,0.3377
36,2,0.12,0.0,0.61,0.33,0.51,0.2589
24,1,0.1,0.15,0.59,0.51,0.42,0.3436
24,2,0.23,0,0.77,0.52,0.41,0.5394
339,1,0.31,0.13,0.66,0.36,0.2,0.3192
339,2,0.5,0.26,0.7,0.3,0.33,0.2909
117,1,0.36,0.28,0.51,0.61,0.47,0.4193
117,2,0.52,0.26,0.78,0.75,0.55,0.3931
149,1,0.26,0,0.73,0.54,0.27,0.377
149,2,0,0,0.64,0.5,0.14,0.3146
375,1,0.21,0.05,0.7,0.39,0.55,0.2642
375,2,0.23,0.04,0.84,0.43,0.53,0.2959
414,1,0.02,0.04,0.55,0.58,0.32,0.3408
414,2,0.09,0,0.38,0.63,0.35,0.146
52,1,0.1,0.14,0.64,0.39,0.53,0.4129
52,2,0.05,0.19,0.67,0.34,0.27,0.4271
387,1,0.57,0.19,0.6,0.52,0.45,0.4373
387,2,0.5,0.25,0.75,0.72,0.27,0.4809
393,1,0.18,0.03,0.87,0.64,0.49,0.4872
393,2,0.22,0.11,0.74,0.57,0.52,0.6035
233,1,0.33,0.23,0.79,0.56,0.38,0.351
233,2,0.39,0.23,0.84,0.66,0.36,0.3879
326,1,0.15,0,0.4,0.36,0.5,0.1792
326,2,0.0,0.02,0.28,0.34,0.34,0.1334
187,1,0.26,0.17,0.68,0.5,0.28,0.2983
187,2,0.25,0.23,0.63,0.49,0.11,0.441
84,1,0,0.07,0.64,0.71,0.38,0.4084
84,2,0.15,0.17,0.54,0.68,0.5,0.4237
190,1,0.37,0.23,0.68,0.61,0.42,0.3451
190,2,0.49,0.08,0.6,0.63,0.36,0.5099
182,1,0.13,0.11,0.55,0.59,0.25,0.2615
182,2,0.31,0.23,0.62,0.6,0.32,0.3481
108,1,0.63,0.11,0.67,0.35,0.15,0.4386
108,2,0.69,0.31,0.7,0.28,0.31,0.3714
344,1,0.21,0.01,0.46,0.54,0.49,0.3203
344,2,0.11,0.07,0.56,0.4,0.47,0.1023
137,1,0.21,0,0.85,0.58,0.24,0.269
137,2,0.34,0.09,0.73,0.54,0.38,0.457
332,1,0.09,0.12,0.6,0.51,0.23,0.3311
332,2,0.19,0.14,0.57,0.53,0.32,0.4454
37,1,0.23,0.21,0.42,0.51,0.43,0.3105
37,2,0.32,0.16,0.35,0.57,0.44,0.4411
312,1,0.22,0.17,0.42,0.47,0.39,0.492
312,2,0.29,0.28,0.32,0.35,0.41,0.459
355,1,0.16,0.05,0.52,0.43,0.35,0.3541
355,2,0.17,0.06,0.54,0.33,0.22,0.3927
88,1,0.19,0.11,0.49,0.51,0.44,0.3676
88,2,0.53,0.13,0.55,0.46,0.31,0.3296
274,1,0.2,0.08,0.76,0.53,0.54,0.2533
274,2,0.32,0,0.82,0.6,0.5,0.4652
429,1,0.4,0.24,0.65,0.63,0.26,0.4845
429,2,0.44,0.25,0.51,0.55,0.2,0.547
353,1,0.5,0.02,0.59,0.55,0.35,0.5312
353,2,0.44,0.04,0.65,0.63,0.18,0.4335
237,1,0.18,0,0.6,0.45,0.34,0.2538
237,2,0.25,0,0.53,0.52,0.35,0.362
396,1,0.2,0.11,0.37,0.66,0.32,0.2889
396,2,0.22,0.05,0.54,0.54,0.28,0.2179
139,1,0.35,0.15,0.79,0.48,0.24,0.52
139,2,0.41,0.07,0.7,0.65,0.41,0.4889
434,1,0.26,0.05,0.63,0.28,0.38,0.3838
434,2,0.12,0.12,0.6,0.36,0.3,0.3772
286,1,0,0.06,0.32,0.26,0.24,0.1405
286,2,0.15,0.09,0.41,0.47,0.16,0.0191
403,1,0.17,0.01,0.75,0.54,0.37,0.545
403,2,0.1,0,0.63,0.45,0.46,0.4477
167,1,0.59,0.11,0.65,0.19,0.39,0.2904
167,2,0.43,0.23,0.65,0.36,0.37,0.4501
29,1,0.41,0.36,0.69,0.45,0.27,0.4598
29,2,0.38,0.14,0.77,0.3,0.27,0.4206
118,1,0.41,0.3,0.72,0.56,0.55,0.5858
118,2,0.5,0.04,0.71,0.57,0.37,0.521
418,1,0.08,0.12,0.7,0.51,0.36,0.4329
418,2,0.02,0.17,0.58,0.41,0.32,0.5449
162,1,0.54,0.16,0.4,0.46,0.0,0.3234
162,2,0.51,0.03,0.46,0.43,0.11,0.2329
206,1,0.59,0.32,0.62,0.46,0.36,0.6693
206,2,0.6,0.5,0.58,0.66,0.44,0.5181
138,1,0.3,0.19,0.55,0.41,0.16,0.3168
138,2,0.45,0.16,0.7,0.44,0.28,0.2193
34,1,0.23,0.03,0.49,0.81,0.43,0.2852
34,2,0.2,0,0.55,0.66,0.43,0.4782
109,1,0.39,0.26,0.48,0.49,0.21,0.5265
109,2,0.59,0.32,0.54,0.41,0.36,0.5721
291,1,0.4,0.12,0.56,0.53,0.43,0.5075
291,2,0.36,0.09,0.52,0.6,0.57,0.5521
329,1,0.39,0.17,0.33,0.55,0.27,0.3942
329,2,0.19,0.15,0.63,0.55,0.49,0.4352
325,1,0.03,0.13,0.58,0.58,0.36,0.2276
325,2,0.2,0.05,0.7,0.63,0.39,0.2113
256,1,0.06,0,0.59,0.39,0.42,0.1866
256,2,0.1,0.07,0.59,0.44,0.5,0.2348
203,1,0.4,0.14,0.61,0.72,0.51,0.4082
203,2,0.33,0,0.59,0.63,0.37,0.4619
235,1,0.53,0,0.29,0.69,0.13,0.4288
235,2,0.62,0.12,0.49,0.43,0.32,0.4783
74,1,0.16,0,0.61,0.5,0.34,0.1549
74,2,0.05,0,0.59,0.4,0.54,0.2554
382,1,0.34,0.46,0.66,0.56,0.31,0.3758
382,2,0.46,0.18,0.73,0.23,0.32,0.373
427,1,0.43,0.1,0.66,0.69,0.32,0.4277
427,2,0.46,0.26,0.53,0.61,0.38,0.4785
127,1,0.35,0.06,0.33,0.59,0.22,0.2853
127,2,0.44,0.25,0.33,0.6,0.2,0.3107
410,1,0.23,0.2,0.54,0.37,0.43,0.2527
410,2,0.35,0.23,0.31,0.42,0.32,0.3109
276,1,0.55,0.08,0.65,0.62,0.34,0.5936
276,2,0.73,0.13,0.64,0.37,0.16,0.4457
135,1,0.33,0.14,0.48,0.54,0.23,0.3521
135,2,0.3,0.12,0.5,0.4,0.2,0.348
300,1,0.09,0.39,0.39,0.52,0.3,0.1363
300,2,0.4,0.19,0.36,0.55,0.25,0.2176
220,1,0.4,0.03,0.42,0.58,0.41,0.3815
220,2,0.32,0.12,0.48,0.65,0.37,0.4601
299,1,0.17,0,0.77,0.57,0.31,0.3116
299,2,0.12,0,0.66,0.68,0.19,0.342
205,1,0.61,0.48,0.58,0.8,0.34,0.3764
205,2,0.57,0.23,0.52,0.68,0.47,0.5159
370,1,0.25,0.15,0.48,0.25,0.24,0.1676
370,2,0.31,0.15,0.56,0.31,0.34,0.1251
334,1,0.2,0.14,0.77,0.35,0.28,0.4107
334,2,0.15,0.06,0.66,0.19,0.47,0.2383
71,1,0.52,0.23,0.62,0.32,0.15,0.3544
71,2,0.47,0.21,0.66,0.43,0.16,0.3011
