session_id,participant_id,track,duration_min,n_questions,initial_difficulty,termination_reason,termination_rounds
94,32,Java Concurrency,53.0,9,3,completed,9
95,32,Java Concurrency,52.0,8,3,completed,8
96,32,Java Concurrency,44.0,9,3,completed,9
97,33,Spring & Microservices,69.0,7,3,completed,7
98,33,Java Backend,63.0,10,3,completed,10
99,33,Java Backend,43.0,7,3,completed,7
100,34,Java Concurrency,43.0,8,4,completed,8
101,34,Spring & Microservices,64.0,9,4,completed,9
102,34,Java Backend,64.0,9,4,completed,9
103,35,Java Concurrency,62.0,8,3,completed,8
104,35,Java Backend,78.0,8,3,completed,8
105,35,Spring & Microservices,77.0,11,3,completed,11
106,36,Spring & Microservices,56.0,8,2,completed,8
107,36,Java Backend,41.0,8,2,completed,8
108,36,Java Backend,70.0,11,2,completed,11
109,37,Java Backend,72.0,10,3,completed,10
110,37,Spring & Microservices,70.0,11,3,completed,11
111,37,Spring & Microservices,52.0,7,3,completed,7
112,38,Java Concurrency,43.0,7,3,completed,7
113,38,Java Backend,64.0,11,3,completed,11
114,38,Java Concurrency,71.0,9,3,completed,9
115,39,Spring & Microservices,55.0,4,3,cancelled,4
116,39,Java Backend,37.0,7,3,completed,7
117,39,Java Backend,61.0,9,3,completed,9
118,40,Spring & Microservices,48.0,7,3,completed,7
119,40,Java Backend,56.0,10,3,completed,10
120,40,JVM & Performance,88.0,10,3,completed,10
121,41,Spring & Microservices,61.0,8,3,completed,8
122,41,Java Backend,68.0,10,3,completed,10
123,41,Java Concurrency,55.0,11,3,completed,11
124,42,Java Backend,67.0,9,3,completed,9
125,42,Java Backend,74.0,7,3,completed,7
126,42,Spring & Microservices,54.0,7,3,completed,7
127,43,Java Backend,43.0,10,2,completed,10
128,43,Java Backend,77.0,8,2,completed,8
129,43,Spring & Microservices,57.0,9,2,completed,9
130,44,Java Backend,51.0,3,3,cancelled,3
131,44,JVM & Performance,67.0,7,3,cancelled,7
132,44,Java Concurrency,49.0,9,3,cancelled,9
133,45,Java Backend,42.0,7,3,completed,7
134,45,Java Backend,79.0,11,3,completed,11
135,45,JVM & Performance,71.0,7,3,completed,7
136,46,Java Concurrency,49.0,3,3,cancelled,3
137,46,Java Concurrency,55.0,7,3,completed,7
138,46,JVM & Performance,58.0,7,3,completed,7
139,47,JVM & Performance,63.0,7,3,completed,7
140,47,Java Backend,55.0,8,3,completed,8
141,47,Spring & Microservices,79.0,8,3,completed,8
142,48,Java Concurrency,56.0,11,3,completed,11
143,48,Java Concurrency,57.0,8,3,completed,8
144,48,JVM & Performance,73.0,8,3,completed,8
